epoch,train,valid
1,0.2777025736172994,0.5389705525636673
2,0.27410889401038485,0.27923348063230513
3,0.25807824272910757,0.3627495621442795
4,0.2708462377587954,0.3767403182387352
5,0.25704258391261103,0.27947853779792786
6,0.25380889015396435,0.2870812644958496
7,0.25728193229436874,0.27670128828287127
8,0.24194278017679852,0.27856970286369326
9,0.25250915948549907,0.39563236486911774
10,0.24120558479428292,0.2804465510249138
11,0.22592907481392224,0.2543353036642075
12,0.2207617296775182,0.28398697572946546
13,0.22827636382977168,0.22590331652760506
14,0.21845203909277916,0.2398027977347374
15,0.21537528680761656,0.25894998559355736
16,0.2227686646680037,0.23360314577817917
17,0.20992948212722937,0.2193693161010742
18,0.21491500437259675,0.2484390495121479
19,0.20625682564576467,0.23618345856666564
20,0.20823186089595158,0.2681830129623413
